index,Category: All categories,entity
2009-06,36.0,google
2009-07,36.0,google
2009-08,37.0,google
2009-09,39.0,google
2009-10,41.0,google
2009-11,42.0,google
2009-12,41.0,google
2010-01,43.0,google
2010-02,42.0,google
2010-03,42.0,google
2010-04,44.0,google
2010-05,48.0,google
2010-06,43.0,google
2010-07,40.0,google
2010-08,41.0,google
2010-09,45.0,google
2010-10,45.0,google
2010-11,46.0,google
2010-12,46.0,google
2011-01,44.0,google
2011-02,45.0,google
2011-03,53.0,google
2011-04,51.0,google
2011-05,55.0,google
2011-06,55.0,google
2011-07,59.0,google
2011-08,55.0,google
2011-09,59.0,google
2011-10,57.0,google
2011-11,57.0,google
2011-12,57.0,google
2012-01,59.0,google
2012-02,58.0,google
2012-03,60.0,google
2012-04,60.0,google
2012-05,61.0,google
2012-06,59.0,google
2012-07,57.0,google
2012-08,61.0,google
2012-09,63.0,google
2012-10,70.0,google
2012-11,74.0,google
2012-12,81.0,google
2013-01,83.0,google
2013-02,83.0,google
2013-03,84.0,google
2013-04,83.0,google
2013-05,86.0,google
2013-06,83.0,google
2013-07,79.0,google
2013-08,84.0,google
2013-09,91.0,google
2013-10,98.0,google
2013-11,100.0,google
2013-12,94.0,google
2014-01,95.0,google
2014-02,91.0,google
2014-03,91.0,google
2014-04,94.0,google
2014-05,94.0,google
2014-06,92.0,google
2014-07,82.0,google
2014-08,88.0,google
2014-09,97.0,google
2014-10,99.0,google
2014-11,94.0,google
2014-12,93.0,google
2015-01,93.0,google
2015-02,90.0,google
2015-03,91.0,google
2015-04,91.0,google
2015-05,91.0,google
2015-06,77.0,google
2015-07,71.0,google
2015-08,79.0,google
2015-09,100.0,google
2015-10,96.0,google
2015-11,91.0,google
2015-12,86.0,google
2016-01,76.0,google
2016-02,76.0,google
2016-03,75.0,google
2016-04,73.0,google
2016-05,72.0,google
2016-06,60.0,google
2016-07,54.0,google
2016-08,61.0,google
2016-09,76.0,google
2016-10,79.0,google
2016-11,76.0,google
2016-12,69.0,google
2017-01,71.0,google
2017-02,75.0,google
2017-03,76.0,google
2017-04,72.0,google
2017-05,75.0,google
2017-06,56.0,google
2017-07,49.0,google
2017-08,61.0,google
2017-09,76.0,google
2017-10,79.0,google
2017-11,73.0,google
2017-12,71.0,google
2018-01,73.0,google
2018-02,75.0,google
2018-03,73.0,google
2018-04,69.0,google
2018-05,70.0,google
2018-06,51.0,google
2018-07,46.0,google
2018-08,55.0,google
2018-09,72.0,google
2018-10,75.0,google
2018-11,72.0,google
2018-12,63.0,google
2019-01,68.0,google
2019-02,70.0,google
2019-03,68.0,google
2019-04,66.0,google
2004-02,32.0,vodafone
2004-03,23.0,vodafone
2004-04,25.0,vodafone
2004-05,28.0,vodafone
2004-06,18.0,vodafone
2004-07,22.0,vodafone
2004-08,27.0,vodafone
2004-09,19.0,vodafone
2004-10,20.0,vodafone
2004-11,21.0,vodafone
2004-12,25.0,vodafone
2005-01,20.0,vodafone
2005-02,18.0,vodafone
2005-03,15.0,vodafone
2005-04,15.0,vodafone
2005-05,15.0,vodafone
2005-06,13.0,vodafone
2005-07,20.0,vodafone
2005-08,18.0,vodafone
2005-09,17.0,vodafone
2005-10,17.0,vodafone
2005-11,14.0,vodafone
2005-12,15.0,vodafone
2006-01,23.0,vodafone
2006-02,20.0,vodafone
2006-03,18.0,vodafone
2006-04,18.0,vodafone
2006-05,16.0,vodafone
2006-06,19.0,vodafone
2006-07,17.0,vodafone
2006-08,26.0,vodafone
2006-09,21.0,vodafone
2006-10,19.0,vodafone
2006-11,16.0,vodafone
2006-12,14.0,vodafone
2007-01,16.0,vodafone
2007-02,18.0,vodafone
2007-03,19.0,vodafone
2007-04,20.0,vodafone
2007-05,19.0,vodafone
2007-06,25.0,vodafone
2007-07,30.0,vodafone
2007-08,23.0,vodafone
2007-09,29.0,vodafone
2007-10,29.0,vodafone
2007-11,32.0,vodafone
2007-12,27.0,vodafone
2008-01,34.0,vodafone
2008-02,31.0,vodafone
2008-03,28.0,vodafone
2008-04,28.0,vodafone
2008-05,23.0,vodafone
2008-06,26.0,vodafone
2008-07,28.0,vodafone
2008-08,25.0,vodafone
2008-09,26.0,vodafone
2008-10,23.0,vodafone
2008-11,28.0,vodafone
2008-12,23.0,vodafone
2009-01,24.0,vodafone
2009-02,26.0,vodafone
2009-03,27.0,vodafone
2009-04,25.0,vodafone
2009-05,30.0,vodafone
2009-06,36.0,vodafone
2009-07,44.0,vodafone
2009-08,47.0,vodafone
2009-09,49.0,vodafone
2009-10,49.0,vodafone
2009-11,56.0,vodafone
2009-12,61.0,vodafone
2010-01,64.0,vodafone
2010-02,63.0,vodafone
2010-03,67.0,vodafone
2010-04,72.0,vodafone
2010-05,79.0,vodafone
2010-06,88.0,vodafone
2010-07,89.0,vodafone
2010-08,96.0,vodafone
2010-09,88.0,vodafone
2010-10,89.0,vodafone
2010-11,95.0,vodafone
2010-12,100.0,vodafone
2011-01,28.0,vodafone
2011-02,29.0,vodafone
2011-03,27.0,vodafone
2011-04,25.0,vodafone
2011-05,27.0,vodafone
2011-06,30.0,vodafone
2011-07,30.0,vodafone
2011-08,33.0,vodafone
2011-09,31.0,vodafone
2011-10,28.0,vodafone
2011-11,26.0,vodafone
2011-12,27.0,vodafone
2012-01,24.0,vodafone
2012-02,25.0,vodafone
2012-03,24.0,vodafone
2012-04,21.0,vodafone
2012-05,25.0,vodafone
2012-06,25.0,vodafone
2012-07,25.0,vodafone
2012-08,26.0,vodafone
2012-09,25.0,vodafone
2012-10,23.0,vodafone
2012-11,22.0,vodafone
2012-12,22.0,vodafone
2013-01,23.0,vodafone
2013-02,24.0,vodafone
2013-03,21.0,vodafone
2013-04,21.0,vodafone
2013-05,20.0,vodafone
2013-06,22.0,vodafone
2013-07,22.0,vodafone
2013-08,23.0,vodafone
